"πÿ¡™ID","Ã®∑Á±‡∫≈","÷–Œƒ√˚","”¢Œƒ√˚","‘§±® ±º‰( ¿ΩÁ ±)","‘§±® ±¥Œ£®–° ±£©","«ø∂»","Œ≥∂»","æ≠∂»","∑ÁÀŸ(m/s)","’Û∑Á£®m/s£©","∆¯—π£®∞Ÿ≈¡£©","“∆œÚ(∂»)","“∆ÀŸ(km/h)","6º∂∑Á»¶(km)","7º∂∑Á»¶(km)","8º∂∑Á»¶(km)","10º∂∑Á»¶(km)"
"TSID","TCID","TSCNAME","TSENAME","DDATETIME","LEADTIME","TCRANK","LATITUDE","LONGITUDE","WINDSPEED","GUST","PRESSURE","DIRECTION","SPEED","RR06","RR07","RR08","RR10"
"156","1521","≤ ∫Á","mujigae","2015-10-2 18:00:00","12","STS","18.90","114.40","30","38","980","298","21","400","290","190","80"
"156","1521","≤ ∫Á","mujigae","2015-10-2 18:00:00","18","TY","19.30","113.40","33","43","975","293","20","410","300","200","90"
"156","1521","≤ ∫Á","mujigae","2015-10-2 18:00:00","24","TY","19.70","112.50","35","45","970","294","17","430","320","210","100"
"156","1521","≤ ∫Á","mujigae","2015-10-2 18:00:00","36","TY","20.40","110.40","38","48","965","288","19","460","350","240","120"
"156","1521","≤ ∫Á","mujigae","2015-10-2 18:00:00","48","TY","21.50","108.40","33","43","975","301","20","410","300","200","90"
"156","1521","≤ ∫Á","mujigae","2015-10-2 18:00:00","60","STS","22.10","107.60","25","33","985","312","9","320","240","120",""
"156","1521","≤ ∫Á","mujigae","2015-10-2 18:00:00","72","TD","23.50","106.90","14","19","1002","334","14","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-2 21:00:00","06","STS","18.50","115.10","30","38","980","295","21","380","290","190","80"
"156","1521","≤ ∫Á","mujigae","2015-10-2 21:00:00","12","TY","19.10","114","33","43","975","299","22","400","300","200","90"
"156","1521","≤ ∫Á","mujigae","2015-10-2 21:00:00","18","TY","19.50","112.90","35","45","970","288","20","430","320","210","100"
"156","1521","≤ ∫Á","mujigae","2015-10-2 21:00:00","24","TY","19.90","111.50","40","50","960","287","26","480","370","260","130"
"156","1521","≤ ∫Á","mujigae","2015-10-2 21:00:00","36","TY","20.60","109.80","38","48","965","293","15","460","350","240","120"
"156","1521","≤ ∫Á","mujigae","2015-10-2 21:00:00","48","TY","21.60","108.30","35","45","970","304","16","430","320","210","100"
"156","1521","≤ ∫Á","mujigae","2015-10-2 21:00:00","60","TS","22.50","107.30","23","28","990","314","11","320","220","120",""
"156","1521","≤ ∫Á","mujigae","2015-10-2 21:00:00","72","TD","24.10","106.60","12","17","1002","340","16","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-3 0:00:00","06","TY","18.90","114.30","33","43","975","286","25","400","300","200","90"
"156","1521","≤ ∫Á","mujigae","2015-10-3 0:00:00","12","TY","19.30","113.20","35","45","970","288","19","430","320","210","100"
"156","1521","≤ ∫Á","mujigae","2015-10-3 0:00:00","18","TY","19.60","112.10","38","48","965","291","19","460","350","240","120"
"156","1521","≤ ∫Á","mujigae","2015-10-3 0:00:00","24","TY","20.10","110.90","40","50","960","293","21","480","370","260","130"
"156","1521","≤ ∫Á","mujigae","2015-10-3 0:00:00","36","TY","21.20","109.10","38","48","965","301","19","460","350","240","120"
"156","1521","≤ ∫Á","mujigae","2015-10-3 0:00:00","48","STS","22","107.90","30","38","980","307","12","380","290","190","80"
"156","1521","≤ ∫Á","mujigae","2015-10-3 0:00:00","60","TS","22.30","107.40","20","25","995","308","5","300","190","",""
"156","1521","≤ ∫Á","mujigae","2015-10-3 0:00:00","72","TD","24.40","106.80","12","17","1002","344","19","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-3 3:00:00","06","TY","19.10","113.80","33","43","975","288","21","400","300","200","90"
"156","1521","≤ ∫Á","mujigae","2015-10-3 3:00:00","12","TY","19.40","112.60","35","45","970","285","22","430","320","210","100"
